game_id,player_id,player_name,team_name,team_acronym,role,champion_name,win,game_length,player_kills,player_deaths,player_assists,total_minions_killed,gold_earned,total_damage_dealt_to_champions,team_kills
30427,1,Bdd,KT Rolster,KT,Mid,Taliyah,0,3309,1,4,10,461,20272,28934,12
30428,1,Bdd,KT Rolster,KT,Mid,Taliyah,0,1796,0,2,3,242,9236,16640,5
30429,5,ShowMaker,Dplus KIA,DK,Mid,Azir,1,2048,8,4,7,266,15667,33135,26
30430,5,ShowMaker,Dplus KIA,DK,Mid,Azir,1,1600,3,1,15,240,12040,26258,23
30431,3,Chovy,Gen.G,GEN,Mid,Azir,1,1728,7,1,6,319,15299,24322,18
30432,3,Chovy,Gen.G,GEN,Mid,Azir,1,1323,12,2,5,206,12411,27242,24
30438,1,Bdd,KT Rolster,KT,Mid,Karma,0,1883,2,3,1,288,12138,15444,3
30438,4,Faker,T1,T1,Mid,Corki,1,1883,3,1,5,313,14506,18822,13
30439,1,Bdd,KT Rolster,KT,Mid,Azir,0,1923,1,4,2,287,11591,16483,4
30439,4,Faker,T1,T1,Mid,Orianna,1,1923,2,1,9,273,13413,16233,16
30440,3,Chovy,Gen.G,GEN,Mid,Aurelion Sol,1,2103,4,2,10,310,14975,26877,18
30441,3,Chovy,Gen.G,GEN,Mid,Azir,1,1691,3,2,6,297,12797,17727,11
31384,6,knight,Bilibili Gaming,BLG,Mid,Taliyah,1,2515,5,3,8,360,17688,17008,17
31385,6,knight,Bilibili Gaming,BLG,Mid,Hwei,0,2770,1,2,7,374,17035,33870,11
31386,6,knight,Bilibili Gaming,BLG,Mid,Karma,1,2278,5,4,11,287,14746,30746,23
30442,5,ShowMaker,Dplus KIA,DK,Mid,Azir,1,1550,7,2,10,221,12953,25872,22
30443,5,ShowMaker,Dplus KIA,DK,Mid,Karma,1,2253,6,1,8,321,16184,33385,18
31401,6,knight,Bilibili Gaming,BLG,Mid,Neeko,1,2122,2,0,6,338,15543,12078,14
31402,6,knight,Bilibili Gaming,BLG,Mid,Akali,1,2195,10,5,6,327,17573,26347,27
30447,3,Chovy,Gen.G,GEN,Mid,Azir,1,1960,6,0,5,380,16616,19988,14
30448,3,Chovy,Gen.G,GEN,Mid,LeBlanc,1,1939,8,1,7,292,16429,30583,21
30449,4,Faker,T1,T1,Mid,Corki,1,1801,2,0,6,328,14495,23343,13
30450,4,Faker,T1,T1,Mid,Orianna,1,1501,3,0,7,251,11324,16030,18
30451,5,ShowMaker,Dplus KIA,DK,Mid,Azir,1,1695,2,0,9,334,13857,12734,11
30452,5,ShowMaker,Dplus KIA,DK,Mid,Karma,1,1979,0,1,8,300,12411,21241,12
31418,6,knight,Bilibili Gaming,BLG,Mid,Ahri,1,1802,4,0,12,292,14238,20272,21
31419,6,knight,Bilibili Gaming,BLG,Mid,Hwei,1,2739,5,6,12,310,16910,33906,23
30459,1,Bdd,KT Rolster,KT,Mid,Orianna,0,1760,0,2,0,262,9935,8871,0
30459,3,Chovy,Gen.G,GEN,Mid,Azir,1,1760,1,0,8,305,13339,13447,12
30460,1,Bdd,KT Rolster,KT,Mid,Azir,0,2125,3,4,4,315,13374,23691,9
30460,3,Chovy,Gen.G,GEN,Mid,Corki,1,2125,2,1,12,377,17363,32084,19
30464,4,Faker,T1,T1,Mid,Taliyah,1,1809,1,2,12,334,13579,17885,22
30465,4,Faker,T1,T1,Mid,Taliyah,1,1857,6,1,12,292,14845,20165,23
30466,1,Bdd,KT Rolster,KT,Mid,Orianna,0,3285,1,0,7,484,21979,16868,14
